Date,Open,High,Low,Close
January-00,117.28,132.28,87.6,112.58
February-00,112.5,168.13,111.11,136.01
March-00,137.5,215.83,137.5,139.1
April-00,132.02,166.03,103.93,126.57
May-00,131.25,136.33,87.5,109.22
June-00,109.07,139.66,106.27,129.99
July-00,132.82,137.74,99.43,106.27
August-00,106.63,134.65,97.74,130.84
September-00,134.36,139.54,108.6,114.75
October-00,112.5,120.54,95.35,112.03
November-00,112.19,125.66,111.72,111.86
December-00,111.72,120,84.63,89.15
January-01,89.36,109.19,85.55,106.05
February-01,105.79,107.82,86.57,97.79
March-01,98.13,98.35,58.46,63.8
April-01,60.94,66.04,42.51,58.25
May-01,58.52,67.72,56.27,58.98
June-01,59.07,62.02,48.99,58.78
July-01,58.37,62.94,49.52,58.78
August-01,59.38,62.51,55.08,55.2
September-01,54.85,55.86,34.54,37.17
October-01,38.29,48.44,33.69,45.54
November-01,45.85,64.22,43.79,60.88
December-01,58.79,73.22,58.79,63.65
January-02,63.68,75.96,56.76,60.78
February-02,61.72,62.19,54.54,55.16
March-02,54.69,67.25,54.57,58.37
April-02,59,62.46,54.63,57.65
May-02,58.36,64.07,52.47,52.85
June-02,53.6,57.82,47.74,51.33
July-02,51.49,54.35,46.45,47.54
August-02,47.52,56.94,45.87,56.55
September-02,56.88,57.97,52.59,53.13
October-02,52.35,61.19,52.35,59.19
November-02,59.46,73.02,59.36,71.21
December-02,71.51,75.79,68.54,74.55
January-03,74.41,76.15,65.3,67.21
February-03,67.58,71.08,63.47,66.94
March-03,67.74,69.83,61.83,63.13
April-03,62.41,68.74,37.82,43.61
May-03,43.54,47.96,40.19,41.76
June-03,42.11,52.27,42.11,51.02
July-03,50.94,57.72,44.79,56.15
August-03,56.57,62.19,51.57,61.1
September-03,61.1,71.44,59.38,70.7
October-03,70.16,75.4,66.6,74.09
November-03,74.13,80.47,70.32,76.95
December-03,77.84,88.68,76.04,86.94
January-04,87.58,95.77,78.91,81.18
February-04,81.7,89.29,75.48,79.25
March-04,79.66,83.95,74.65,77.16
April-04,77.5,93.75,77.5,80.43
May-04,80.47,84.36,65.63,81.39
June-04,81.74,88.4,77.85,86.3
July-04,85.64,97.82,80.07,97.11
August-04,97.57,99.37,92.07,98.44
September-04,98.75,107,98.44,105.95
October-04,106.12,122.38,104.94,119.15
November-04,119.25,135.44,118.44,134.28
December-04,135,135,125.88,130.57
January-05,131.19,132.82,115.63,129.21
February-05,129.69,140.44,126.16,139.83
March-05,139.38,143.41,128.38,140.79
April-05,140.57,141.88,117.26,117.96
May-05,118.13,141.26,118.13,140.67
June-05,140.63,150.82,135.5,147.36
July-05,144.07,150.57,132.64,141.83
August-05,140.57,149.32,139.5,148.52
September-05,150.32,159.07,146.88,157.32
October-05,158.27,170.44,150.07,157.75
November-05,162.5,172.94,156.16,167.76
December-05,168.44,189.99,166.69,187.3
January-06,187.5,192.19,169.1,179.99
February-06,180.63,183,171.88,176.79
March-06,176.57,192,173.44,186.31
April-06,187.88,212.5,186.75,198.6
May-06,199.07,205.3,173.44,181.76
June-06,184.38,193.13,153.13,192.35
July-06,193.75,214.75,191.5,206.74
August-06,207.5,227.38,205.13,226.1
September-06,225.88,234.34,215.38,230.99
October-06,230.25,268.88,224.64,261.85
November-06,263.72,300.13,257.57,272.56
December-06,275,285,266.42,280.07
January-07,280.25,290.62,262.5,280.56
February-07,280.56,304.88,256.63,259.8
March-07,262.5,272.91,244.88,251.58
April-07,250,267.5,239,256.17
May-07,260,262.38,237.5,240.04
June-07,241.88,254.88,238.25,241.15
July-07,241.88,256.13,238.13,247.16
August-07,245.63,251,218.15,231.89
September-07,234.38,243.75,218.54,237.1
October-07,237.5,267.5,219.38,229.89
November-07,231.13,239.99,188.9,200.51
December-07,202,230,198.75,221.05
January-08,219.75,223.13,151.53,187.99
February-08,189.38,210.63,184,193.36
March-08,191.25,193.75,162.64,178.77
April-08,181.25,226.13,176.63,219.22
May-08,224.25,246.49,212.25,244.7
June-08,244.5,252.13,211.88,216.85
July-08,217.49,234.5,185.5,197.92
August-08,193.88,218.75,193.88,218.57
September-08,220,225.59,162.5,174.7
October-08,178.13,183.63,130,172.71
November-08,176.63,182.13,138,155.08
December-08,162.5,162.5,133.13,139.74
January-09,140.63,164.84,137.63,163.19
February-09,161.63,165.62,143.3,153.92
March-09,151.42,174.75,146,165.52
April-09,165.75,189.37,159.38,188.42
May-09,189.38,228.75,185.64,200.25
June-09,200.63,231.75,200.25,222.12
July-09,222.1,259.62,204.38,257.99
August-09,257.5,275.34,242,266.54
September-09,267.48,301.84,265.3,288.55
October-09,287.63,294.07,267.63,275.68
November-09,274.38,307.24,265.89,298
December-09,299.88,326.87,294.41,325.66
January-10,325.75,338.75,300.77,309.59
February-10,308.75,328.75,291.63,325.2
March-10,329.5,352.68,325.89,326.89
April-10,327.5,352.98,320.05,342.02
May-10,337.13,359.38,313.75,332.21
June-10,331.88,353.44,327.14,348.57
July-10,350.13,363.95,339.5,348.61
August-10,347.63,363.35,333.25,338.39
September-10,338.38,384.38,338.38,380.13
October-10,380.5,406.13,368.32,371.2
November-10,373.52,388.88,368,381.19
December-10,380,431.75,379.38,430.63
January-11,431.13,436.75,386.45,389.54
February-11,391.63,396.89,371.74,375.39
March-11,379.38,407.52,363.02,404.6
April-11,403.13,414.61,360,363.25
May-11,365.59,369.12,344.63,348.99
June-11,349.25,364.5,332.57,363.43
July-11,366.25,377.5,338.63,345.85
August-11,347.5,352.5,271.13,292.85
September-11,296.25,320.99,272.89,316.73
October-11,310.38,371.42,302.5,359.4
November-11,355.02,359.35,313.17,325.95
December-11,333.13,350,329.38,345.64
January-12,345.49,361.92,319.38,342.92
February-12,342.72,373.75,336.99,359.43
March-12,358.13,364.42,346.25,358.12
April-12,358.13,360.97,275,307.83
May-12,308.25,312.25,286.64,304.99
June-12,305,318.05,293.13,312.82
July-12,312.13,314.88,262.71,278.43
August-12,278.63,309.73,273.27,296.66
September-12,296.38,331.09,288.75,316.75
October-12,318.52,327.5,288.47,295.44
November-12,295,309.63,284.87,304.58
December-12,305.25,306.63,280.64,289.82
January-13,290.64,354.38,287.86,348.6
February-13,348.63,371.25,342.5,363.25
March-13,361.25,376.25,351.88,361.24
April-13,362.9,374.38,273.75,279.31
May-13,279.87,303.97,279.82,300.95
June-13,315.6,328.12,292.88,311.66
July-13,307.5,373.73,299.11,370.9
August-13,372.13,391.12,365.38,387.54
September-13,383.25,396.59,372.5,376.94
October-13,377.75,421.5,374.25,413.59
November-13,413.12,430.99,404.25,419.19
December-13,419.25,446.88,413.75,435.69
January-14,436.38,474.88,427.17,462.44
February-14,460.63,479.02,442.58,477.53
March-14,477.88,480.9,402.13,409.86
April-14,410.63,421.48,392.88,397.15
May-14,397.82,417.18,361.75,367.69
June-14,368.75,416.88,368.75,405.81
July-14,405.75,428.67,398.53,420.72
August-14,420,456.1,416.5,449.25
September-14,450.66,474.12,444.57,468.46
October-14,468.75,508.75,450,506.44
November-14,509.38,549.88,504.35,544.91
December-14,548.5,550.13,474.5,492.8
January-15,491.95,555.5,478.53,535.69
February-15,535,583.8,525.77,573.72
March-15,575,578.38,532.5,554.15
April-15,552.35,561,483.17,485.6
May-15,490.25,515.25,477.5,505.6
June-15,507.5,515.75,484.25,492.68
July-15,495,563.88,466.28,539.03
August-15,540,593,522.5,547.6
September-15,544.98,582.68,526.18,580.23
October-15,584.95,609.5,543.55,568.03
November-15,565,577.8,506.13,544.23
December-15,544.25,555,511.75,552.28
January-16,550,584.85,515.93,582.43
February-16,585,596.8,533.5,541.88
March-16,549,617.33,544.5,608.98
April-16,606,633.95,575.7,605.43
May-16,607,635,585.78,624.93
June-16,620.5,639,578,585.38
July-16,590,597.53,528,536.98
August-16,537,547,504.6,518.4
September-16,518,534.33,512,519.05
October-16,519.05,540.35,497,501.25
November-16,504.93,504.93,450.15,487.73
